id,2015-02-01,2015-02-02,2015-02-03,2015-02-04,2015-02-05,2015-02-06,2015-02-07,2015-02-08,2015-02-09,2015-02-10,2015-02-11,2015-02-12,2015-02-13,2015-02-14,2015-02-15,2015-02-16,2015-02-17,2015-02-18,2015-02-19,2015-02-20,2015-02-21
28042,33.23465,null,null,null,null,null,62.0356,41.90947,null,null,null,null,null,64.28844,40.2667,null,null,null,null,null,70.20185
28043,46.00949,46.48839,45.77248,41.79074,42.71955,41.53133,42.51437,40.76115,43.50766,49.45768,44.52479,44.14439,46.75794,44.37177,42.95315,44.28021,38.80183,44.66197,48.10418,47.87771,44.32471
28044,33.78196,39.96047,41.4093,40.98388,37.90733,39.52281,42.54269,40.76255,39.99383,38.59557,35.37276,38.91798,37.28933,37.37911,33.7346,42.48931,38.75356,38.60989,44.69776,38.97597,37.23963
28045,36.03812,38.69144,38.74004,40.05841,43.11895,42.59628,44.27565,35.90946,41.84502,46.63581,43.74555,44.15987,47.59377,42.56597,36.22889,45.12088,47.60026,39.28866,40.67261,40.99464,42.27919
28046,58.60564,41.01895,50.26676,46.34124,46.83159,52.05763,64.89867,62.02922,44.24844,40.23884,41.82333,50.66547,52.59084,60.87997,57.39802,45.83006,37.9848,42.64775,43.00149,52.91031,60.98524
28047,33.78733,39.97791,41.31313,35.3403,36.60888,45.8709,45.01135,28.30069,41.34192,41.59784,35.51599,34.78143,44.49988,36.93404,37.6998,45.21589,39.9568,37.47194,32.72592,46.96585,40.82248
28048,null,34.65385,null,28.78605,35.45413,36.34727,34.91345,42.23704,25.55513,25.9285,25.47688,30.54796,35.09097,30.80436,52.90526,null,20.80037,18.31679,26.14476,25.80081,50.11258
28049,37.05743,42.66794,43.01927,40.46442,39.42106,38.14303,40.47375,34.70471,31.06117,33.27714,33.61487,38.78061,38.06886,42.19969,37.90988,35.69936,35.88959,27.79947,33.76899,38.46486,45.04266
28050,46.87367,27.53331,26.06133,26.88158,29.19645,33.04709,49.15565,null,28.096,30.26454,28.58455,30.41888,31.51228,51.86324,50.42543,28.57804,28.41729,29.7414,25.71334,33.1975,50.21656
28051,43.95593,50.57387,42.63153,43.90816,49.6082,44.76446,45.80929,42.37472,45.40212,50.97511,40.38768,57.8267,39.79253,43.52549,43.13986,41.26267,40.20154,39.94085,42.25368,42.53751,45.83437
28052,12.70806,11.85818,13.69244,9.93616,14.08885,16.47435,18.5364,10.7429,11.81313,13.25429,10.69918,12.67965,15.55301,20.10605,10.12816,16.2765,9.84209,14.4158,13.63711,20.40204,29.55353
28053,30.13034,30.919,37.2288,33.693,32.98783,40.03667,33.22448,38.1722,37.89364,33.80157,37.95124,34.03015,33.40981,31.7032,30.39551,36.56555,33.09968,32.0314,34.09059,36.4995,32.97321
28054,34.46336,35.63874,34.87186,32.80121,37.41199,33.93593,36.31577,33.59951,33.84413,34.85142,32.98148,35.004,36.87167,35.57911,36.04791,35.15512,36.79505,36.642,37.09392,36.05913,37.55124
28055,null,25.59129,19.9295,28.00077,null,32.80056,21.42308,null,19.52833,null,20.96471,24.39282,21.39393,30.62323,50.146,16.23958,43.268,null,36.88286,23.82903,28.87719
